genre,boxoffice,rating,0
Action,252620377.0,6.07148337596,1564
Adult,0.0,4.89090909091,11
Adventure,8084022.0,6.20084745763,1180
Animation,261561300.0,7.13503401361,294
Biography,18177.0,7.04719101124,356
Comedy,434442722.0,6.3108881676,3389
Crime,186830717.0,6.47655217966,1514
Documentary,15642.0,7.31921052632,380
Drama,126500326.0,6.73745051465,5052
Family,191216300.0,6.49839679359,499
Fantasy,56159470.0,6.09416809605,583
Film-Noir,0.0,7.4,2
History,41051.0,7.22298507463,335
Horror,320325.0,5.58212927757,1315
Music,1899610.0,6.74076433121,314
Musical,4000000.0,6.3570754717,212
Mystery,0.0,6.40329489292,607
N/A,0.0,6.27346938776,49
Romance,13309411.0,6.5584,1250
Sci-Fi,202062800.0,5.51419656786,641
Short,213950000.0,7.22075471698,159
Sport,80804.0,6.22689655172,145
Thriller,214311410.0,6.22449339207,1135
War,12890968.0,6.85824468085,376
Western,25097.0,6.30321715818,373
